s	Axis1	Axis2	Axis3
ERR912162	0.0110640780639264	-0.0548412120968036	-0.00659206546981983
ERR912163	0.00606357084327182	-0.00792401429270837	-0.00466823478300312
ERR912164	0.0381344625710451	0.0531140620834237	0.0180478126378343
ERR912165	0.0245131688640469	-0.00525410894706251	0.0282512670281833
ERR912166	0.0137642786395354	-0.036942844502368	-0.00787534492881401
ERR912167	0.0100123675029338	-0.0946697453909185	-0.0555856490901567
ERR912168	0.00716727857273227	-0.0116488744870395	-0.0322792548885735
ERR912169	0.0292045840453013	0.023337683698431	-0.0250641598637927
ERR912170	0.0268280531716584	0.0178572687078554	-0.00704212202221456
ERR912171	0.0131041652678434	-0.0493076651638048	-0.0148266462834102
ERR912172	0.0187967114853104	-0.011957027819513	-0.0209235936540054
ERR912173	0.0283103791704014	0.0333981400645686	-0.00128376019781605
ERR912174	0.0331508900581806	0.0579864178409654	-0.0104850715102081
ERR912175	-0.0307682065663299	-0.00159197514029068	0.0398268759172042
ERR912176	-0.0256099893368077	-0.0335301760569326	0.0205413541800162
ERR912177	0.00483898937344592	-0.0619921587694387	-0.0235291325169135
ERR912178	0.0223976795122607	0.00972403488162676	0.114855938126633
ERR912179	-0.0135345201574718	0.0229494457617406	-0.0282466397938337
ERR912180	0.0272824854474753	0.00129815934282728	-0.00589669858179774
ERR912181	-0.396188049924541	0.0654278688834737	0.045064681100734
ERR912182	0.00254085254829427	0.0601274752569734	0.0277554700070421
ERR912183	0.0481338088484005	0.0799777400815653	0.137520320452631
ERR912184	-0.00317759565365481	-0.0486494729381207	0.0329004036858166
ERR912185	0.0300402423005979	0.0985776209884273	-0.0238840559085207
ERR912186	0.00817592301187285	-0.0701125940553872	-0.0228596094190391
ERR912187	0.0252708925957632	0.000879611335720439	-0.0100214286405797
ERR912188	0.0256360631868742	0.141407706899905	-0.120412510338769
ERR912189	-0.0121033258050661	-0.0207384062845249	-0.00378748236753715
ERR912190	-0.0866239266870906	0.0943545430174923	-0.0678036033553395
ERR912191	0.0362790665775501	0.0355791366252318	0.0918291370278829
ERR912192	-0.0824497673597034	-0.0462323468112687	-0.00298886936538493
ERR912193	0.0258758311617138	-0.0384341256610544	-0.0216662631639298
ERR912194	0.0103921809505443	0.00327095222930097	0.0151758346720655
ERR912195	0.0165304775248175	-0.0351462218052466	-0.000442458707070703
ERR912196	0.00327923998488804	-0.0540396523436838	-0.0180799048402102
ERR912197	0.0167992043065425	-0.0233333804802197	-0.00631109779205166
ERR912198	0.0189637818346354	-0.0340149249485871	0.021002329173891
